"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UNUM72TS","journalArticle","2022","Haidar, Bassem; Aguilar Rojas, Maria Teresa","The relationship between public charging infrastructure deployment and other socio-economic factors and electric vehicle adoption in France","Research in Transportation Economics","","0739-8859","10.1016/j.retrec.2022.101208","https://www.sciencedirect.com/science/article/pii/S0739885922000300","Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) offer a promising choice to replace fossil-fuel dependent Internal Combustion Engine Vehicles (ICEVs) with a low-emission transport solution. Governments, automotive manufacturers, and charging infrastructure operators have deployed market-boosting initiatives to incentivize purchase. Yet, their market diffusion is limited by several barriers. To shed light on the main barriers, and based on an extensive state-of-the-art, we used an original database and statistically analyzed the relationship of 21 socio-demographic, technical, and economic factors on BEV and PHEV market shares, separately, in 94 French departments from 2015 to 2019, using mixed-effect regression. We find different covariates related to BEV and PHEV sales, respectively, suggesting the two markets respond to different incentives. The number of available BEV/PHEV models and energy prices are positively correlated with BEV and PHEV adoption. Fast, ultrafast charger density and local incentives positively relate with BEV sales, while slow-and-normal charger density to PHEV sales. Contrarily, national subsidies, relative to vehicles’ prices, are negatively correlated with PHEVs sales and is open for further studies. Based on the results, policy recommendations are considered for the automotive industry, charging operators, and local authorities to draw a roadmap for electric mobility transition in France.","2022-05-29","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:16","101208","","","","","Research in Transportation Economics","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\KCVRJVKJ\S0739885922000300.html","","","Charging infrastructure; Electric vehicle; Incentives; Mixed-effects modelling; Technology adoption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5EBBQ7U","journalArticle","2022","Delgado, Rafael Coll; de Santana, Romário Oliveira; Gelsleichter, Yuri Andrei; Pereira, Marcos Gervasio","Degradation of South American biomes: What to expect for the future?","Environmental Impact Assessment Review","","0195-9255","10.1016/j.eiar.2022.106815","https://www.sciencedirect.com/science/article/pii/S0195925522000816","South America, a complex geographical area formed by physical, biological, and climatic diversity and distributed over several biomes, is home to the greatest biodiversity on the planet. Climate change is a threat at the continental scale, putting future generations at risk. Studying the biomes of South America is a valid approach to reducing the economic, social and cultural impacts of each region. This study used 18 years of numerous meteorological, biophysical and fire variables, aiming to understand the vegetation dynamics of the World Wide Fund for Nature biomes in the past, present and future (2021-2040) as a potential tool for land and resource management natures of South America. Our results indicate an increase in air temperature mainly in tropical regions, which will accelerate the physical processes of evaporation and transpiration in vegetation, in addition to increasing the probability of mega-fires during the dry season in these regions. Among the ten biomes in South America, savannas, tropical and subtropical moist broadleaf forests showed the greatest decrease in vegetation, as simulated by future modeling. Our results simulated by ARIMA modeling and data simulated by the CanESM5 climate model warn of the loss of biodiversity in South America. If public policies are not implemented in the short term, the loss of vegetation and human lives will be inevitable in these regions.","2022-09-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:18","106815","","","96","","Environmental Impact Assessment Review","Degradation of South American biomes","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\3LA4R2V3\S0195925522000816.html","","","Biomes; Climate change; Future simulation; South America; Vulnerability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHX5QDTK","journalArticle","2022","Qi, Fukang; Wu, Xiao; Wang, Zhiwen; Wang, Chenghao; Duan, Haiqin; Liu, Meng; Xu, Jingping","Transport and deposition processes of the sediment depocenter off the Shandong Peninsula: An observational study","Continental Shelf Research","","0278-4343","10.1016/j.csr.2022.104763","https://www.sciencedirect.com/science/article/pii/S0278434322001170","The long-distance transport of Yellow River sediments has formed an omega-shaped (‘Ω’) distal muddy deposit in the Yellow Sea. Numerous studies have investigated the sediment dynamics and sedimentary evolution of the deposit, but several key questions remain unanswered due to insufficient observations. To reveal the mechanisms of sediment dynamics and quantify sediment transport and deposition processes, this study collected field datasets in the depocenter of the muddy deposit off the Shandong Peninsula. Bottom mounted tripods were deployed from August 18 to 27, 2017, and from February 23 to March 2, 2018, during which two strong wind events with speeds of over 10.8 m/s occurred. The results showed that near-bed suspended sediment concentration responded directly to varying hydrodynamic conditions, and significant differences in suspended sediment concentration between two wind events could be ascribed to a number of factors (e.g., tidal current, wave periods, wind stress, turbulence). The harmonic analysis demonstrated that suspended sediment variations during the spring tide were directed mainly by resuspension, while resuspension and advection contributed equally at neap tide. The variations in background suspended sediment concentration can be ascribed to the residual current. Furthermore, the sediment transport pattern is similar to the pattern of water circulation. Generally, the along-shore suspended sediment flux is about one order of magnitude higher than the cross-shore flux. In summer, the suspended sediment was transported mainly downcoast. In winter, sediment was transported downcoast during wavy periods and upcoast during calm periods. Advection dominated sediment flux in most cases, except during wavy periods when local resuspension increased significantly, and the contribution of resuspension term to along-shore flux was up to 87%. Meanwhile, cross-shore flux also increased significantly under strong winds, which was simultaneously modulated by downcoast and offshore winds. After statistical analysis, we found that offshore winds controlled the cross-shore sediment transport in winter. Using parameterized calculation and statistical analysis, the average accumulation rate of the study site was estimated to be 0.6 cm/yr. During calm periods, lower background sediment concentration in summer led to lower deposition rates than in winter. In addition, the frequent strong wind events in winter cause extremely high erosion rates. This study provides new perspectives on quantitative variations in suspended sediment transport and regional erosion/deposition from synoptic to seasonal variations in the distal mud deposit.","2022-07-15","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:19","104763","","","244","","Continental Shelf Research","Transport and deposition processes of the sediment depocenter off the Shandong Peninsula","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\QHKB7YDB\S0278434322001170.html","","","Accumulation rate; Coastal sediment dynamics; Muddy deposit; Strong wind events; Suspended sediment transport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWH3D6H8","journalArticle","2022","Yang, Zongyao; Yu, Xueying; Dedman, Simon; Rosso, Massimiliano; Zhu, Jingmin; Yang, Jiaqi; Xia, Yuxiang; Tian, Yichao; Zhang, Guangping; Wang, Jingzhen","UAV remote sensing applications in marine monitoring: Knowledge visualization and review","Science of The Total Environment","","0048-9697","10.1016/j.scitotenv.2022.155939","https://www.sciencedirect.com/science/article/pii/S0048969722030364","With the booming development of information technology and the growing demand for remote sensing data, unmanned aerial vehicle (UAV) remote sensing technology has emerged. In recent years, UAV remote sensing technology has developed rapidly and has been widely used in the fields of military defense, agricultural monitoring, surveying and mapping management, and disaster and emergency response and management. Currently, increasingly serious marine biological and environmental problems are raising the need for effective and timely monitoring. Compared with traditional marine monitoring technologies, UAV remote sensing is becoming an important means for marine monitoring thanks to its flexibility, efficiency and low cost, while still producing systematic data with high spatial and temporal resolutions. This study visualizes the knowledge domain of the application and research advances of UAV remote sensing in marine monitoring by analyzing 1130 articles (from 1993 to early 2022) using a bibliometric approach and provides a review of the application of UAVs in marine management mapping, marine disaster and environmental monitoring, and marine wildlife monitoring. It aims to promote the extensive application of UAV remote sensing in the field of marine research.","2022-09-10","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:20","155939","","","838","","Science of The Total Environment","UAV remote sensing applications in marine monitoring","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\PERE82LL\S0048969722030364.html","","","Internet of things; Marine disasters; Marine litter; Marine management mapping; Marine megafauna; UAV systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SLYTQ3Z","journalArticle","2022","Uddin, Mohammad Main; Hossain, Mohammad Mosharraf; Aziz, Ammar Abdul; Lovelock, Catherine E.","Ecological development of mangrove plantations in the Bangladesh Delta","Forest Ecology and Management","","0378-1127","10.1016/j.foreco.2022.120269","https://www.sciencedirect.com/science/article/pii/S0378112722002638","Afforestation is a process used in recovering the global mangrove cover. Succession or development in mangrove communities during mangrove afforestation has rarely been described yet is important for understanding the potential of afforestation in creating diverse and functional mangroves. Since 1966, the Government of Bangladesh has created nearly 280 km2 of plantation mangroves (7.5% of the extent of the Sundarbans mangrove forest and 0.21% of the global mangroves extent) on the Delta of the Ganges, Brahmaputra and Meghna Rivers, located east of the Sundarbans mangroves. Here, we investigated the development of these plantation mangroves, assessing their community structure and species richness over a 40-year chronosequence in comparison to natural mangroves in the same region. Tree communities in the plantations reached a maximum mean aboveground biomass (AGB) of ∼157 ± 13 Mg dry weight ha−1, achieving equivalence in tree aboveground biomass and tree density (255 ± 2 individuals ha−1) to natural mangroves by 20 and 39 years respectively. Our dataset from plantations aged between 10 and 42 years indicated that structural complexity (Ic) was higher in older plantations than in younger plantations. We found that the tree community structure of older mangrove plantations was more diverse in the eastern region of the delta compared to the central and western regions, and the landward plantations were more diverse than the plantations fringing the oceans. One of the originally planted mangrove species, Sonneratia apetala, was dominant in these plantations. However, we recorded 8 mangrove tree species from 5 genera in the plantations, despite only two species (S. apetala and Avicennia officinalis) being planted. Our data indicated that while the tree structure of the established mangrove plantations was similar to natural mangroves within 42 years, equivalent species richness may not be reached for more than 40 years. Therefore, adoption of management to enhance natural successional or development processes in afforestation programs, for example by planting a diverse mix of species, could improve the effectiveness of afforestation in conserving biodiversity.","2022-08-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:21","120269","","","517","","Forest Ecology and Management","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\NZ6M89IC\S0378112722002638.html","","","Chronosequence; Community structure; Development; Mangrove plantations; Species richness; Structural complexity; Succession","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3R23XT5","journalArticle","2022","Salazar, Alejandro; Sanchez, Adriana; Dukes, Jeffrey S.; Salazar, Juan F.; Clerici, Nicola; Lasso, Eloisa; Sánchez-Pacheco, Santiago J.; Rendón, Ángela M.; Villegas, Juan C.; Sierra, Carlos A.; Poveda, Germán; Quesada, Benjamin; Uribe, Maria R.; Rodríguez-Buriticá, Susana; Ungar, Paula; Pulido-Santacruz, Paola; Ruiz-Morato, Natalia; Arias, Paola A.","Peace and the environment at the crossroads: Elections in a conflict-troubled biodiversity hotspot","Environmental Science & Policy","","1462-9011","10.1016/j.envsci.2022.04.013","https://www.sciencedirect.com/science/article/pii/S1462901122001423","In democracies around the world, societies have demonstrated that elections can have major consequences for the environment. In Colombia, the 2022 presidential elections will take place at a time when progress towards peace has stalled and socioeconomic, security, and environmental conditions have deteriorated. The recent declines in these conditions largely coincide with the change of government after the 2018 elections, and the associated rise to power of a party that boycotted the peace negotiations from the beginning. These indicators suggest that 2018 marked the end of a decade of improvements in safety, wealth, and equality—societal factors that can interact with the environment in multiple ways. A spike in assassinations of land and environmental defenders in 2019 and 2020 made Colombia one of the most dangerous places in the world for environmentalists. With the 2022 presidential election, Colombians will once again decide who will govern the country and what new social, economic, and environmental policies will be implemented. In preparation for elections like this, we believe that it is important for scientists with relevant backgrounds to highlight relationships between political events and the environment, to enrich the political debate, help prioritize public resources, and inform policy-making. Here, we provide a multidisciplinary analysis of different socioeconomic and environmental trends that can help inform the public and decision-makers. We intend for this analysis to be useful not only in Colombia, but also to other societies under similar situations, managing biodiversity-rich ecosystems in socio-political environments of increasing violence, poverty, and inequality.","2022-09-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:21","77-85","","","135","","Environmental Science & Policy","Peace and the environment at the crossroads","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\HCQ9MHIA\S1462901122001423.html","","","Climate change; Colombia; Elections; Inequality; Peace; Poverty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBH7NB3Q","journalArticle","2022","de Oliveira-Ferreira, Nara; Manhães, Bárbara M. R.; Santos-Neto, Elitieri B.; Rocha, Yasmin; Guari, Emi B.; Botta, Silvina; Colosio, Adriana C.; Ramos, Hernani G. C.; Barbosa, Lupércio; Cunha, Ian A. G.; Bisi, Tatiana L.; Azevedo, Alexandre F.; Cunha, Haydée A.; Lailson-Brito, José","Franciscana dolphins, Pontoporia blainvillei, as environmental sentinels of the world's largest mining disaster: Temporal trends for organohalogen compounds and their consequences for an endangered population","Environmental Pollution","","0269-7491","10.1016/j.envpol.2022.119370","https://www.sciencedirect.com/science/article/pii/S026974912200584X","On November 5th, 2015, the Fundão dam collapsed in Minas Gerais, southeastern Brazil, releasing millions of cubic meters of mud containing mining residue into the Doce River. Two weeks later, the mud arrived to the marine environment, triggering changes in franciscana dolphin habitat, Pontoporia blainvillei, from Franciscana Management Area Ia. This is an isolated population of the most endangered cetacean species in the South Atlantic Ocean. Organohalogen compounds (OHCs) may pose a threat to this endangered population because of their endocrine disrupting properties. Hence, this study sought to determine if there were differences in the bioaccumulation profile of OHC (PCBs, DDTs, Mirex, HCB, HCHs, PBDEs, PBEB, HBBZ and MeO-BDEs) in franciscana dolphins before and after dam collapse and to build a temporal trend. Blubber of 33 stranded individuals was collected in Espírito Santo state for organohalogen assessment between 2003 and 2019. Differences were found between franciscana dolphins collected prior to and after the disaster. Additionally, significant temporal trends for organochlorine pesticides and natural and anthropogenic organobromine were detected. The increase in pesticide concentrations after 2015 is suggestive of their reavailability in the environment. The decline in organobromine over time could be due to their debromination in the marine environment and alterations in the composition of their natural producers. PCBs remained stable during the period of the study. Our findings show an increase in endocrine disruptor concentrations, which is of great concern for this endangered population.","2022-08-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:22","119370","","","306","","Environmental Pollution","Franciscana dolphins, Pontoporia blainvillei, as environmental sentinels of the world's largest mining disaster","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\X5S4WMLQ\S026974912200584X.html","","","Endocrine disruptors; Franciscana management area Ia; Fundão dam collapse; Persistent Organic pollutants; Pontoporiidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPQHN48Z","journalArticle","2022","Martins, G. S.; Cordeiro, R. C.; Turcq, B.; Meyers, P. A.; Mendez-Millan, M.; Moreira, L. S.; Fontes, D.; Rodrigues, R. A.; Sifeddine, A.; Behling, H.; Bouloubassi, I. D.","Late quaternary hydrological changes in the southeastern amazon basin from n-alkane molecular and isotopic records in sediments of Saci lake, Pará state (Brazil)","Global and Planetary Change","","0921-8181","10.1016/j.gloplacha.2022.103833","https://www.sciencedirect.com/science/article/pii/S092181812200100X","The molecular distributions and isotopic ratios (δ13C and δD) of n-alkanes in sediments deposited during the last 35 cal kyr BP in Saci Lake, southeastern Amazonia, have been measured and interpreted for their paleoclimate information. A terrestrial origin for the odd carbon-numbered long-chain (>C27) n-alkanes has been inferred from molecular distributions. A shift in the n-alkane δ13C values across the Pleistocene-Holocene boundary coincides with a climate-induced floral change previously deduced from palynological analyses. Dry conditions during the late Pleistocene and mid-Holocene were confirmed by several n-alkane indices used to estimate the availability of moisture and by larger δD values. High ACL values indicate relatively dry conditions from 29 to 18.2 cal kyr BP and again from 8.0 and 5.0 cal kyr BP with a decrease in precipitation and an increase of grasses. Changes in the n-alkane C-29 isotopic compositions (δD and δ13C) were observed during the Pleistocene-Holocene transition, coinciding with a floristic change induced by climatic conditions that is also observed in palynological results from the same lake. The n-alkane C-29 δ13C values remain between −33.2‰ and − 35.7‰, which is representative for n-alkanes derived from C3 vegetation. These lines of evidence suggest a continuous gallery forest cover in the Saci Lake catchment for the last ~35 cal kyr BP in contrasted with the observed palynological changes which represent the dynamics of the vegetation on the upland areas. The n-alkane C-29 δD values are less negative in the Pleistocene and more negative during the Holocene in the lake record. These characteristics suggest more humid conditions during the Holocene than in the Pleistocene, probably associated with the South American Monsoon System (SAMS). However, an increase of approximately 10‰ occurs during the late Holocene, which coincides with the forest expansion around 5 cal kyr BP that is recorded in palynological data of Saci Lake and other records of the Amazon Forest. This change suggests that the D/H ratio is also influenced by the increase of the plant biomass, which would provide an enrichment of D in the isotopic signal as a function of regional moisture recycling caused by evapotranspiration.","2022-06-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:23","103833","","","213","","Global and Planetary Change","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\5CJZL9Y7\S092181812200100X.html","","","Compound specific isotope composition; Paleoclimate, -Alkane; Southeastern Amazon basin; Vegetation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H2WRY8K","journalArticle","2022","Condé, Tiago Monteiro; Tonini, Helio; Higuchi, Niro; Higuchi, Francisco Gasparetto; Lima, Adriano José Nogueira; Barbosa, Reinaldo Imbrozio; dos Santos Pereira, Taiguara; Haas, Manuel Alexander","Effects of sustainable forest management on tree diversity, timber volumes, and carbon stocks in an ecotone forest in the northern Brazilian Amazon","Land Use Policy","","0264-8377","10.1016/j.landusepol.2022.106145","https://www.sciencedirect.com/science/article/pii/S0264837722001727","The tension between the large global demand for tropical timber, and ecological sustainability and local socioeconomic development in the fragile natural ecosystems of the Amazon region has challenged many generations. In this case study, carried out in an ecotone forest in the northern Brazilian Amazon, we seek to demonstrate how forest management can became more sustainable through silvicultural prescriptions that reduce forest degradation and soil erosion. We evaluated the effects of the sustainable forest management (SFM) on tree diversity, timber volumes, and carbon stocks. A continuous forest inventory was carried out in nine 1-ha permanent plots (900 subplots of 100 m²), distributed in three treatments with three repetitions: T1 = control without selective logging, T2 = SFM, and T3 = SFM + silvicultural treatment of thinning release by tree girdling and poisoning. SFM was carried out with an average of three commercial timber trees harvested per hectare with DBH (diameter at breast height) ≥ 50 cm, corresponding to a timber volume of 20 ± 6 m3 ha-1, equivalent to the removal of 7 ± 2 Mg C ha-1 (5% of the original C). The formation of clearings (gaps) arising from the falling of exploited trees (0.12 ± 0.09 ha) resulted in greater impacts on the forest structure than the construction of 4 m skidder trails (0.06 ± 0.04 ha), with an average of 7 ± 4 damaged trees ha-1 and 5 ± 3 dead trees ha-1. Although six trees species became locally extinct, tree diversity was little altered, and timber volumes and forest carbon volume stocks remained essentially constant at this average logging intensity. Based on our results, sustainable forest management can become an efficient model for land use in the Amazon when harvesting is carried out using this average logging intensity. However, long-term monitoring studies using permanent plots in ecotone forests in the Brazilian Amazon will still be necessary. Quantifying, evaluating, and reporting impacts related to forest management will enable the formation of an empirical basis to support sustanaible forestry practices and for updating environmental legislation, contributing to local socioeconomic development, and maintaining the environmental services provided globally by tropical forests.","2022-08-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:24","106145","","","119","","Land Use Policy","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nyang2\Zotero\storage\MAUFAHF7\S0264837722001727.html","","","Forest carbon; Land use; Selective logging; Sustainable timber production; Tropical forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCRQZJD9","bookSection","2023","Lannes, Suzana Caetano da Silva","Prevalence of Foodborne Diseases in Latin America and the Caribbean","Reference Module in Food Science","978-0-08-100596-5","","","https://www.sciencedirect.com/science/article/pii/B9780128225219000058","According to the Economic Commission for Latin America and the Caribbean, the region had an average growth rate of 5.2% in 2021, as result of a recovery that does not ensure sustained expansion. The region's natural resources need to be well managed to strengthen the institutional capacity of the countries in the region to promote social, economic, environmental, and health equity and sustainability. Foodborne diseases are an important cause of morbidity and mortality. The types of diseases and their impacts are diverse in different communities and on public health. The estimated global burden of foodborne disease is considerable for each region, but it is impossible to be fully aware of all unsafe foods that cause illness. A portion of foodborne disease is recognized and reported to public health authorities and recorded in official disease statistics. This article presents and discusses some results of studies and the main points on foodborne diseases in the Latin America and Caribbean region.","2023-01-01","2022-06-01 11:46:45","2022-06-01 11:46:45","2022-06-01 11:45:25","","","","","","","","","","","","Elsevier","","en","","","","","ScienceDirect","","DOI: 10.1016/B978-0-12-822521-9.00005-8","","C:\Users\nyang2\Zotero\storage\ZHFNYQNR\B9780128225219000058.html","","","Bacteria; Caribbean; Climate change; Contaminated food; Food security; Foodborne diseases; Foods; Latin America; Microorganism; Parasites; Pathogen; Toxins; Viruses; Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
